campaign,ad_group,keyword,match_type,final_url,max_cpc_usd
Search | TX Tools | Jul 2026 | PAUSED,Ad group 1,texas estate planning tools,Phrase,https://mywillbuddy.com/tools?utm_source=google&utm_medium=cpc&utm_campaign=tools_test_jul26&utm_content=kw_texas_estate_planning_tools_phrase,8.00
Search | TX Tools | Jul 2026 | PAUSED,Ad group 1,texas estate planning tools,Exact,https://mywillbuddy.com/tools?utm_source=google&utm_medium=cpc&utm_campaign=tools_test_jul26&utm_content=kw_texas_estate_planning_tools_exact,8.00
Search | TX Tools | Jul 2026 | PAUSED,Ad group 1,texas intestacy calculator,Phrase,https://mywillbuddy.com/tools/texas-intestacy-calculator?utm_source=google&utm_medium=cpc&utm_campaign=tools_test_jul26&utm_content=kw_texas_intestacy_calculator_phrase,8.00
Search | TX Tools | Jul 2026 | PAUSED,Ad group 1,texas intestacy calculator,Exact,https://mywillbuddy.com/tools/texas-intestacy-calculator?utm_source=google&utm_medium=cpc&utm_campaign=tools_test_jul26&utm_content=kw_texas_intestacy_calculator_exact,8.00
Search | TX Tools | Jul 2026 | PAUSED,Ad group 1,will cost texas,Phrase,https://mywillbuddy.com/tools/texas-estate-planning-cost-calculator?utm_source=google&utm_medium=cpc&utm_campaign=tools_test_jul26&utm_content=kw_will_cost_texas_phrase,8.00
Search | TX Tools | Jul 2026 | PAUSED,Ad group 1,will cost texas,Exact,https://mywillbuddy.com/tools/texas-estate-planning-cost-calculator?utm_source=google&utm_medium=cpc&utm_campaign=tools_test_jul26&utm_content=kw_will_cost_texas_exact,8.00
Search | TX Tools | Jul 2026 | PAUSED,Ad group 1,how much does a will cost in texas,Phrase,https://mywillbuddy.com/tools/texas-estate-planning-cost-calculator?utm_source=google&utm_medium=cpc&utm_campaign=tools_test_jul26&utm_content=kw_will_cost_question_phrase,8.00
Search | TX Tools | Jul 2026 | PAUSED,Ad group 1,how much does a will cost in texas,Exact,https://mywillbuddy.com/tools/texas-estate-planning-cost-calculator?utm_source=google&utm_medium=cpc&utm_campaign=tools_test_jul26&utm_content=kw_will_cost_question_exact,8.00
Search | TX Tools | Jul 2026 | PAUSED,Ad group 1,make a will in texas,Phrase,https://mywillbuddy.com/tools?utm_source=google&utm_medium=cpc&utm_campaign=tools_test_jul26&utm_content=kw_make_a_will_texas_phrase,8.00
Search | TX Tools | Jul 2026 | PAUSED,Ad group 1,make a will in texas,Exact,https://mywillbuddy.com/tools?utm_source=google&utm_medium=cpc&utm_campaign=tools_test_jul26&utm_content=kw_make_a_will_texas_exact,8.00
Search | TX Tools | Jul 2026 | PAUSED,Ad group 1,texas will checklist,Phrase,https://mywillbuddy.com/tools/estate-planning-readiness?utm_source=google&utm_medium=cpc&utm_campaign=tools_test_jul26&utm_content=kw_texas_will_checklist_phrase,8.00
Search | TX Tools | Jul 2026 | PAUSED,Ad group 1,texas will checklist,Exact,https://mywillbuddy.com/tools/estate-planning-readiness?utm_source=google&utm_medium=cpc&utm_campaign=tools_test_jul26&utm_content=kw_texas_will_checklist_exact,8.00
Search | TX Tools | Jul 2026 | PAUSED,Ad group 1,power of attorney texas,Phrase,https://mywillbuddy.com/tools/texas-power-of-attorney-navigator?utm_source=google&utm_medium=cpc&utm_campaign=tools_test_jul26&utm_content=kw_power_of_attorney_texas_phrase,8.00
Search | TX Tools | Jul 2026 | PAUSED,Ad group 1,power of attorney texas,Exact,https://mywillbuddy.com/tools/texas-power-of-attorney-navigator?utm_source=google&utm_medium=cpc&utm_campaign=tools_test_jul26&utm_content=kw_power_of_attorney_texas_exact,8.00
Search | TX Tools | Jul 2026 | PAUSED,Ad group 1,guardianship planning texas,Phrase,https://mywillbuddy.com/tools?utm_source=google&utm_medium=cpc&utm_campaign=tools_test_jul26&utm_content=kw_guardianship_planning_texas_phrase,8.00
Search | TX Tools | Jul 2026 | PAUSED,Ad group 1,guardianship planning texas,Exact,https://mywillbuddy.com/tools?utm_source=google&utm_medium=cpc&utm_campaign=tools_test_jul26&utm_content=kw_guardianship_planning_texas_exact,8.00
